audio_path,diary_label,model_label,start,end,score,verified
../../data/split_diary/MYNBYT/T1/chunk_4/0.0 0.9 SPEAKER_02.wav,SPEAKER_02,BichNgoc,0.0,0.9,0.12429007887840271,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/3.9 5.0 SPEAKER_02.wav,SPEAKER_02,DucAnh,3.9,5.0,0.20289115607738495,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/6.8 9.2 SPEAKER_02.wav,SPEAKER_02,DucAnh,6.8,9.2,0.160044327378273,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/9.8 11.2 SPEAKER_02.wav,SPEAKER_02,DucAnh,9.8,11.2,0.10444211214780807,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/11.7 13.2 SPEAKER_02.wav,SPEAKER_02,DucAnh,11.7,13.2,0.07579764723777771,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/14.1 15.3 SPEAKER_02.wav,SPEAKER_02,BichNgoc,14.1,15.3,0.15388934314250946,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/34.1 35.6 SPEAKER_02.wav,SPEAKER_02,BichNgoc,34.1,35.6,0.04152989014983177,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/45.4 47.5 SPEAKER_03.wav,SPEAKER_03,DucAnh,45.4,47.5,0.010725605301558971,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/61.1 62.4 SPEAKER_03.wav,SPEAKER_03,DucAnh,61.1,62.4,0.01428348571062088,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/71.2 73.3 SPEAKER_02.wav,SPEAKER_02,BichNgoc,71.2,73.3,0.2019948959350586,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/77.9 79.0 SPEAKER_01.wav,SPEAKER_01,BichNgoc,77.9,79.0,0.026533694937825203,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/79.4 85.0 SPEAKER_01.wav,SPEAKER_01,BichNgoc,79.4,85.0,0.18012076616287231,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/90.3 91.4 SPEAKER_02.wav,SPEAKER_02,DucAnh,90.3,91.4,0.12735670804977417,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/92.1 95.2 SPEAKER_02.wav,SPEAKER_02,BichNgoc,92.1,95.2,0.17805814743041992,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/97.9 100.3 SPEAKER_02.wav,SPEAKER_02,DucAnh,97.9,100.3,0.04631437733769417,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/121.4 123.0 SPEAKER_03.wav,SPEAKER_03,DucAnh,121.4,123.0,0.07503480464220047,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/135.4 136.6 SPEAKER_02.wav,SPEAKER_02,BichNgoc,135.4,136.6,0.15780402719974518,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/141.3 143.7 SPEAKER_02.wav,SPEAKER_02,BichNgoc,141.3,143.7,0.13435044884681702,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/163.5 165.5 SPEAKER_01.wav,SPEAKER_01,BichNgoc,163.5,165.5,0.2736240327358246,tensor([True])
../../data/split_diary/MYNBYT/T1/chunk_4/166.3 167.6 SPEAKER_01.wav,SPEAKER_01,BichNgoc,166.3,167.6,0.1271963268518448,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/169.5 170.8 SPEAKER_00.wav,SPEAKER_00,DucAnh,169.5,170.8,0.14382128417491913,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/172.0 173.1 SPEAKER_02.wav,SPEAKER_02,BichNgoc,172.0,173.1,0.14699546992778778,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/186.4 188.4 SPEAKER_02.wav,SPEAKER_02,BichNgoc,186.4,188.4,0.060582950711250305,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/199.9 201.2 SPEAKER_02.wav,SPEAKER_02,DucAnh,199.9,201.2,0.09726128727197647,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/232.5 241.8 SPEAKER_00.wav,SPEAKER_00,BichNgoc,232.5,241.8,0.1743115931749344,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/245.0 247.0 SPEAKER_01.wav,SPEAKER_01,BichNgoc,245.0,247.0,0.19257088005542755,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/266.5 268.5 SPEAKER_02.wav,SPEAKER_02,DucAnh,266.5,268.5,0.0878962054848671,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/270.4 272.9 SPEAKER_02.wav,SPEAKER_02,BichNgoc,270.4,272.9,0.24378609657287598,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/279.1 280.2 SPEAKER_02.wav,SPEAKER_02,DucAnh,279.1,280.2,0.09875994175672531,tensor([False])
../../data/split_diary/MYNBYT/T1/chunk_4/280.3 281.7 SPEAKER_02.wav,SPEAKER_02,BichNgoc,280.3,281.7,0.19681167602539062,tensor([False])
