audio_path,diary_label,model_label,start,end,score,verified
../../data/split_diary/MYNBYT/T2/chunk_4/1.4 2.2 SPEAKER_00.wav,SPEAKER_00,DucAnh,1.4,2.2,0.03364168480038643,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_4/6.1 7.7 SPEAKER_00.wav,SPEAKER_00,DucAnh,6.1,7.7,0.09142506122589111,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_4/10.2 11.6 SPEAKER_00.wav,SPEAKER_00,BichNgoc,10.2,11.6,0.11932302266359329,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_4/17.9 19.4 SPEAKER_00.wav,SPEAKER_00,BichNgoc,17.9,19.4,-0.0023997414391487837,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_4/22.4 23.5 SPEAKER_00.wav,SPEAKER_00,DucAnh,22.4,23.5,0.11918332427740097,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_4/33.3 34.5 SPEAKER_00.wav,SPEAKER_00,BichNgoc,33.3,34.5,0.0480838418006897,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_4/36.8 37.9 SPEAKER_00.wav,SPEAKER_00,DucAnh,36.8,37.9,0.015851831063628197,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_4/40.0 41.5 SPEAKER_00.wav,SPEAKER_00,BichNgoc,40.0,41.5,0.11503840237855911,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_4/42.7 44.2 SPEAKER_00.wav,SPEAKER_00,DucAnh,42.7,44.2,0.03343163803219795,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_4/50.5 53.1 SPEAKER_00.wav,SPEAKER_00,BichNgoc,50.5,53.1,0.06426384299993515,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_4/64.3 65.3 SPEAKER_00.wav,SPEAKER_00,BichNgoc,64.3,65.3,0.10909690707921982,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_4/69.8 75.0 SPEAKER_00.wav,SPEAKER_00,DucAnh,69.8,75.0,0.05390777066349983,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_4/78.5 80.6 SPEAKER_00.wav,SPEAKER_00,DucAnh,78.5,80.6,0.06853851675987244,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_4/81.5 85.0 SPEAKER_00.wav,SPEAKER_00,BichNgoc,81.5,85.0,0.07515435665845871,tensor([False])
../../data/split_diary/MYNBYT/T2/chunk_4/87.8 91.2 SPEAKER_00.wav,SPEAKER_00,DucAnh,87.8,91.2,0.10358124226331711,tensor([False])
