file_name,content,episode
SPEAKER_01 - 5741.97 - 5746.95.lab,một lúc nào đó mình cũng nghĩ là mình sẽ tiểu thuyết hoá các hội ký.,184
SPEAKER_01 - 5746.95 - 5753.39.lab,giống như chuyện của ai chứ không phải chuyện của mình thì có thể mình dễ làm hơn nó không ảnh hưởng liên lụy tới những người khác những tác.,184
SPEAKER_01 - 5753.39 - 5757.84.lab,không khác hơn tại vì đang dính với những cái công trình như cái dự án.,184
SPEAKER_01 - 5757.84 - 5764.26.lab,quán kỳ nam của lê ông bây giờ là triệu hai lỡ có gì rắc rối là tội người ta tội mấy người úp giốm vô.,184
SPEAKER_01 - 5764.26 - 5768.95.lab,thành ra cô nghĩ sao không nghĩ là thôi một là mình tiểu thuốc há nó hai là mình.,184
SPEAKER_01 - 5768.95 - 5776.93.lab,cắt từng lát từng lát thôi tại vì trong những cái lát cắt á dọc đường đi á có nhiều chuyện cực hay mà không kể thì uổng không kể ra thì uổng.,184
SPEAKER_01 - 5776.93 - 5783.08.lab,và trong lúc mà đi ghi những cái lát cắt này nè thì có lúc mình đi gặp những người này người nọ đó.,184
SPEAKER_01 - 5783.08 - 5785.48.lab,thì cái bản sắc này là cái.,184
SPEAKER_00 - 6949.49 - 6950.62.lab,cô thấy thế nào.,184
SPEAKER_01 - 2168.34 - 2174.16.lab,cái có hai cái bàn trong cái tòa soạn đó để ly tách vậy nè thì có một bà khán giả bà ngồi với đứa con của bà á.,184
SPEAKER_01 - 2174.16 - 2181.34.lab,nó khát nước bả không muốn bả bỏ đi thì mất một khúc kịch coi bả chòm lên sân khấu bả lấy ly nước cho con bả uống bả thả trở lại.,184
SPEAKER_01 - 2181.34 - 2188.88.lab,mà mình ngồi trên đó mình nín cười luôn lúc đó khán giả với mình sống trang hoàng như vậy và làm được bao nhiêu vở hay.,184
SPEAKER_01 - 2188.88 - 2194.47.lab,những vở hay đó là ở đâu vở tốt nghiệp của trường sân khấu nhiều kịch bản hay lắm và hồi đó là.,184
SPEAKER_01 - 2194.47 - 2201.07.lab,mình quen nhiều người bạn tốt họ dịch những kịch bản hay của thế giới dĩ nhiên cũng có những vở bị.,184
SPEAKER_01 - 2201.07 - 2207.81.lab,tóp vào giờ chót nhất là khi chuyển qua năm bê để mà bà bán vé và nó nằm trong những cái liên quan xấu nhỏ.,184
SPEAKER_01 - 2207.81 - 2214.89.lab,có những cái liên quan mà toàn kịch nước ngoài hay mình cũng có tham gia những vở như là những cầu thủ thủy tinh của tennis tournament.,184
SPEAKER_01 - 2214.89 - 2222.43.lab,mà lúc đó mà nước ngoài nó tới nó nghe nói là việt nam lúc đó bắt đầu mở cửa mà có dựng tennis ờ wales là nó rất là nể.,184
SPEAKER_01 - 2222.43 - 2228.78.lab,dựng kịch tàu dựng kịch của lưu dũ này là thường rồi mình đã thông thường với lại liên xô với trung quốc.,184
SPEAKER_01 - 2228.78 - 2236.02.lab,mà dám chơi kịch mỹ những vở như vậy là rất là nể chỉ có mình nhớ ấy như thành hội kì đã đụng vô vở là con điếm được kính nhường.,184
SPEAKER_01 - 2236.02 - 2240.44.lab,nhường của dân mua sạc là bị stoke lại thôi nhưng mà được làm nhiều vở hay lắm.,184
SPEAKER_01 - 1690.36 - 1698.35.lab,học trò học sinh thành ra mới có có khi đề thi ra bài đó mà thành ra họ thuộc và họ thấy ớ cái bài mình học đưa lên kìa.,184
SPEAKER_01 - 1698.35 - 1703.84.lab,và họ vỗ tay từng câu dứt mỗi câu là vỗ tay từng câu thì không phải là cái tín hiệu vui sao.,184
SPEAKER_01 - 1703.84 - 1708.33.lab,lần đó cũng là lần đầu tiên hai chữ biển đông cực kỳ nhạy cảm.,184
SPEAKER_01 - 1708.33 - 1716.31.lab,mình đã đưa được vô mà ngọc với thành lộc cứ nói là sở kiểm duyệt cắt đi thành ra lúc mà kiểm duyệt xong cái buổi phối khảo xong gọi về hỏi lộc.,184
SPEAKER_01 - 1716.31 - 1723.91.lab,còn ông lộc nói trời ơi không những còn mà tụi em đưa vô bốn lần là một lần đơn đơn ca bao giờ sóng lặng biển đông bao giờ con lạc.,184
SPEAKER_01 - 1723.91 - 1729.16.lab,giáo hồng nàng hoa có lúc là hợp ca có lúc là đồng ca dàn đồng ca hát.,184
SPEAKER_01 - 1729.16 - 1735.62.lab,đưa dấu mấy lần và đều được vỗ tay và đều được khen ngợi cái điều mình sợ thì hóa ra là.,184
SPEAKER_01 - 1735.62 - 1740.89.lab,tại không có người dám làm đầu tiên đó làm rồi hóa ra là lòng vả như lòng sung.,184
SPEAKER_01 - 1740.89 - 1745.32.lab,lòng duyệt vợ lòng người duyệt vợ cũng như người đang đang được duyệt.,184
SPEAKER_01 - 1745.32 - 1751.57.lab,người ta cũng muốn nói lên hai chữ biển đông vậy nhưng mà nói cách nào nói ở đâu đây là chuyện về.,184
SPEAKER_01 - 1751.57 - 1759.11.lab,lục tiên nga là ghép chữ lục vân tiên và kiều nguyệt nga nó thành nội tiên nga nhưng cái nhân vật mình đưa ra đầu là ông đồ chiểu.,184
SPEAKER_01 - 1759.11 - 1767.1.lab,và cái lời ông đó cái lời mà vừa viết vừa khóc là tôi là một người mù nhưng không biết non sông tôi có còn đẹp không vợ có còn.,184
SPEAKER_01 - 1767.1 - 1774.93.lab,bồng con đứng đợi chồng hay không hương cao có còn thơm hay không và tôi cũng là một người cầm bút mù nữa đó là chuyện ông nguyễn.,184
SPEAKER_01 - 1774.93 - 1782.73.lab,định chiểu nhưng cũng là chuyện của mình mình cảm giác mình mù bởi vì mình cách một đại dương mình không biết là bây giờ tuổi trẻ sống làm sao.,184
SPEAKER_01 - 1782.73 - 1789.1.lab,không biết các bạn trăn trở cái gì cái điều mình viết ra có còn lạc hậu hay không có còn rơi thỏm vào cái khoảng không hay không.,184
SPEAKER_01 - 1789.1 - 1796.83.lab,mình viết cái trăn trở của một cái người bảy mấy tuổi thì nó nói ủa tụi tôi không quan tâm chuyện đó bây giờ tụi tôi quan tâm chuyện khác.,184
SPEAKER_01 - 1796.83 - 1798.38.lab,thành ra khi viết.,184
SPEAKER_00 - 6073.33 - 6075.6.lab,cô có nhắc đến những cái thế hệ mà chưa sinh ra.,184
SPEAKER_01 - 868.05 - 874.38.lab,thì bây giờ trở lại cái thời đó là cái thời gì chính vì vậy nó dính tới một cái câu sau này mình phải vướng vào khi.,184
SPEAKER_01 - 874.38 - 879.74.lab,những người pháp qua mời những khoảng mười mấy người của miền nam đi ra hà nội.,184
