,audio_path,model_label,start,end,script
0,./concat_audio/MYNBYT/T1/chunk_2/0.7 to 1.6.mp3,NgocQuan,0.7,1.6,thanh niên mà cô.
1,./concat_audio/MYNBYT/T1/chunk_2/4.4 to 5.6.mp3,NgocQuan,4.4,5.6,chẳng giống như bọn cháu ở quê.
2,./concat_audio/MYNBYT/T1/chunk_2/15.0 to 24.9.mp3,KieuGiang,15.0,24.9,tăng với những cái chuyến mà có đường bay trên năm trăm ki lô mét đấy thực ra thì tăng cũng vài trăm thôi nhưng mà cô may cô đặt trước nên vẫn được giá vé cũ.
3,./concat_audio/MYNBYT/T1/chunk_2/24.9 to 37.3.mp3,NgocQuan,24.9,37.3,dạ vâng đấy cháu cũng đang định bay vào thăm ông anh họ ở trong khu công nghiệp bình dương nhưng mà giá vé thế này thì khó quá bọn cháu lái taxi thế này ngày được vài trăm bây giờ mà đi thì mất một ngày công.
4,./concat_audio/MYNBYT/T1/chunk_2/38.3 to 40.0.mp3,KieuGiang,38.3,40.0,cô xin lỗi cô nghe điện thoại một tí nhé.
5,./concat_audio/MYNBYT/T1/chunk_2/45.9 to 47.1.mp3,KieuGiang,45.9,47.1,đang trên taxi đây.
6,./concat_audio/MYNBYT/T1/chunk_2/55.7 to 58.4.mp3,KieuGiang,55.7,58.4,mày thì cứ tại sao lại nói với mẹ như thế hờ.
7,./concat_audio/MYNBYT/T1/chunk_2/62.2 to 64.2.mp3,BichNgoc,62.2,64.2,nói chung là bố mẹ cứ để cho con tự chủ động giải quyết.
8,./concat_audio/MYNBYT/T1/chunk_2/77.0 to 82.5.mp3,NgocQuan,77.0,82.5,rocket và rocket một giờ khẳng định bản lĩnh quá mạnh thực phẩm này không phải là thuốc và không có tác dụng thay thế thuốc chữa bệnh.
9,./concat_audio/MYNBYT/T1/chunk_2/155.7 to 158.9.mp3,LeThoa,155.7,158.9,sài gòn vui hông chị vui thì ở lại lâu lâu một tí nhá.
10,./concat_audio/MYNBYT/T1/chunk_2/160.0 to 161.7.mp3,KieuGiang,160.0,161.7,mình gây gọi vào số nào ở sài gòn thế này.
11,./concat_audio/MYNBYT/T1/chunk_2/162.5 to 164.8.mp3,LeThoa,162.5,164.8,em học nói giọng sài gòn ở trên mạng đó.
12,./concat_audio/MYNBYT/T1/chunk_2/166.6 to 173.8.mp3,KieuGiang,166.6,173.8,gì ôi tôi xin cô đấy cô ra miền bắc đi cho tôi nhờ cô sắp đến chưa á cô đi đến đâu rồi.
13,./concat_audio/MYNBYT/T1/chunk_2/178.6 to 182.3.mp3,KieuGiang,178.6,182.3,cảm thấy xa lạ nhưng lại đau mắt.
14,./concat_audio/MYNBYT/T1/chunk_2/186.2 to 194.1.mp3,LeThoa,186.2,194.1,bây giờ là mới tám giờ kém chưa phải là giờ em đi làm thứ hai là khoá nào làm sao em biết được cũng có thể là đức anh hay là cái hân nó khoá nhầm thì sao.
15,./concat_audio/MYNBYT/T1/chunk_2/195.1 to 200.8.mp3,KieuGiang,195.1,200.8,đấy thế có chán không cái truyền lý người ở trong nhà mà cứ như người rời ý không biết cái nào là cái khóa cổng cả.
16,./concat_audio/MYNBYT/T1/chunk_2/202.6 to 206.5.mp3,LeThoa,202.6,206.5,chị đang ở sài gòn cơ mà hai ngày nữa chị mới ra cơ mà.
17,./concat_audio/MYNBYT/T1/chunk_2/209.3 to 210.8.mp3,KieuGiang,209.3,210.8,có được không thưa cô.
18,./concat_audio/MYNBYT/T1/chunk_2/213.1 to 219.5.mp3,LeThoa,213.1,219.5,nhưng mà chị về giờ này là không gặp em đâu nhá hôm nay với ngày mai là em xin nghỉ nhà em có khách ở quê ra còn gì.
19,./concat_audio/MYNBYT/T1/chunk_2/221.4 to 229.9.mp3,LeThoa,221.4,229.9,thoa ơi hết mắm tôm rồi bảo cái nhung ra chợ mua đi nhung ra chợ mua mắm tôm cho mẹ bảo trong trong ví lấy tiền cho mẹ đi thôi.
20,./concat_audio/MYNBYT/T1/chunk_2/231.9 to 239.7.mp3,NgocQuan,231.9,239.7,nhà tao ăn nhiều lắm về tao lấy cho có đủ ăn không chả nào ôi giời lão này tình thiếu tiền thiếu nhưng mắm tôm lão này không thiếu nhá.
21,./concat_audio/MYNBYT/T1/chunk_2/241.5 to 247.4.mp3,KieuGiang,241.5,247.4,này thoa ơi cô xem thế nào cô giúp tôi vậy cô thử xem là cô có đến được hộ tôi một tí không.
22,./concat_audio/MYNBYT/T1/chunk_2/248.0 to 252.4.mp3,LeThoa,248.0,252.4,thôi chị dự luật đi nhá có mỗi cái phích thì cũng gọi em nhà em bao nhiêu việc đây này.
