audio_path,diary_label,model_label,start,end,score,verified
./split_diary/MYNBYT/T1/chunk_4/0.0 0.9 SPEAKER_02.wav,SPEAKER_02,LeThoa,0.0,0.9,0.27763110399246216,True
./split_diary/MYNBYT/T1/chunk_4/3.9 5.0 SPEAKER_02.wav,SPEAKER_02,DucAnh,3.9,5.0,0.17863503098487854,False
./split_diary/MYNBYT/T1/chunk_4/6.8 9.2 SPEAKER_02.wav,SPEAKER_02,DucAnh,6.8,9.2,0.19075465202331543,False
./split_diary/MYNBYT/T1/chunk_4/9.8 11.2 SPEAKER_02.wav,SPEAKER_02,LeThoa,9.8,11.2,0.1850353181362152,False
./split_diary/MYNBYT/T1/chunk_4/11.7 13.2 SPEAKER_02.wav,SPEAKER_02,KieuGiang,11.7,13.2,0.18601524829864502,False
./split_diary/MYNBYT/T1/chunk_4/14.1 15.3 SPEAKER_02.wav,SPEAKER_02,KieuGiang,14.1,15.3,0.19391264021396637,False
./split_diary/MYNBYT/T1/chunk_4/34.1 35.6 SPEAKER_02.wav,SPEAKER_02,LeThoa,34.1,35.6,0.13105405867099762,False
./split_diary/MYNBYT/T1/chunk_4/45.4 47.5 SPEAKER_03.wav,SPEAKER_03,LeThoa,45.4,47.5,0.11763057112693787,False
./split_diary/MYNBYT/T1/chunk_4/61.1 62.4 SPEAKER_03.wav,SPEAKER_03,DucAnh,61.1,62.4,0.033689968287944794,False
./split_diary/MYNBYT/T1/chunk_4/71.2 73.3 SPEAKER_02.wav,SPEAKER_02,LeThoa,71.2,73.3,0.3573649525642395,True
./split_diary/MYNBYT/T1/chunk_4/77.9 79.0 SPEAKER_01.wav,SPEAKER_01,LeThoa,77.9,79.0,0.20360182225704193,False
./split_diary/MYNBYT/T1/chunk_4/79.4 85.0 SPEAKER_01.wav,SPEAKER_01,LeThoa,79.4,85.0,0.3562741279602051,True
./split_diary/MYNBYT/T1/chunk_4/90.3 91.4 SPEAKER_02.wav,SPEAKER_02,LeThoa,90.3,91.4,0.1318405270576477,False
./split_diary/MYNBYT/T1/chunk_4/92.1 95.2 SPEAKER_02.wav,SPEAKER_02,LeThoa,92.1,95.2,0.259971559047699,True
./split_diary/MYNBYT/T1/chunk_4/97.9 100.3 SPEAKER_02.wav,SPEAKER_02,KieuGiang,97.9,100.3,0.3035982847213745,True
./split_diary/MYNBYT/T1/chunk_4/121.4 123.0 SPEAKER_03.wav,SPEAKER_03,KieuGiang,121.4,123.0,0.10793835669755936,False
./split_diary/MYNBYT/T1/chunk_4/135.4 136.6 SPEAKER_02.wav,SPEAKER_02,LeThoa,135.4,136.6,0.20150330662727356,False
./split_diary/MYNBYT/T1/chunk_4/141.3 143.7 SPEAKER_02.wav,SPEAKER_02,LeThoa,141.3,143.7,0.23936781287193298,False
./split_diary/MYNBYT/T1/chunk_4/163.5 165.5 SPEAKER_01.wav,SPEAKER_01,KieuGiang,163.5,165.5,0.28096675872802734,True
./split_diary/MYNBYT/T1/chunk_4/166.3 167.6 SPEAKER_01.wav,SPEAKER_01,KieuGiang,166.3,167.6,0.28767552971839905,True
./split_diary/MYNBYT/T1/chunk_4/169.5 170.8 SPEAKER_00.wav,SPEAKER_00,KieuGiang,169.5,170.8,0.447780042886734,True
./split_diary/MYNBYT/T1/chunk_4/172.0 173.1 SPEAKER_02.wav,SPEAKER_02,LeThoa,172.0,173.1,0.14080145955085754,False
./split_diary/MYNBYT/T1/chunk_4/186.4 188.4 SPEAKER_02.wav,SPEAKER_02,KieuGiang,186.4,188.4,0.2954184412956238,True
./split_diary/MYNBYT/T1/chunk_4/199.9 201.2 SPEAKER_02.wav,SPEAKER_02,LeThoa,199.9,201.2,0.12997883558273315,False
./split_diary/MYNBYT/T1/chunk_4/232.5 241.8 SPEAKER_00.wav,SPEAKER_00,KieuGiang,232.5,241.8,0.5797016024589539,True
./split_diary/MYNBYT/T1/chunk_4/245.0 247.0 SPEAKER_01.wav,SPEAKER_01,LeThoa,245.0,247.0,0.3408682942390442,True
./split_diary/MYNBYT/T1/chunk_4/266.5 268.5 SPEAKER_02.wav,SPEAKER_02,LeThoa,266.5,268.5,0.12312600016593933,False
./split_diary/MYNBYT/T1/chunk_4/270.4 272.9 SPEAKER_02.wav,SPEAKER_02,BichNgoc,270.4,272.9,0.24134548008441925,False
./split_diary/MYNBYT/T1/chunk_4/279.1 280.2 SPEAKER_02.wav,SPEAKER_02,DucAnh,279.1,280.2,0.13034670054912567,False
./split_diary/MYNBYT/T1/chunk_4/280.3 281.7 SPEAKER_02.wav,SPEAKER_02,BichNgoc,280.3,281.7,0.1780543029308319,False
